,Event.Id,Accident.Number,Event.Date,Location,Country,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
7,20020909X01562,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,BLACKBURN AG STRIP,Non-Fatal,Substantial,Airplane,N2482N,Cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,01-01-1982
8,20020909X01561,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,HANOVER,Non-Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,01-01-1982
13,20020917X02134,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,HEARNE MUNICIPAL,Fatal(1),Destroyed,Airplane,N758SK,Cessna,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,02-01-1983
16,20020917X01962,DEN82DTM08,1982-01-02,"MIDWAY, UT",United States,FIELD RANCH,Non-Fatal,Destroyed,Helicopter,N51735,Enstrom,280C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Taxi,Probable Cause,02-01-1983
18,20020917X02481,NYC82DA016,1982-01-02,"GALETON, PA",United States,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,02-01-1983
20,20020917X01894,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,02-01-1983
21,20020917X01776,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,02-01-1983
23,20020917X02333,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,03-01-1983
25,20020917X01905,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
26,20020917X01720,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
27,20020917X02483,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,WESTCHESTER COUNTY,Non-Fatal,Substantial,Airplane,N7125D,Maule,M-5-235C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-01-1983
30,20020917X01992,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,OAK GROVE,Non-Fatal,Substantial,Airplane,N71054,Cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,03-01-1983
35,20020917X01991,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,ESTANCIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N32335,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,04-01-1983
37,20020917X02304,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,RAMONA,Fatal(3),Destroyed,Airplane,N4520K,Navion,A,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,05-01-1983
39,20020917X01906,DCA82AA009,1982-01-05,"ITHACA, NY",United States,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-01-1983
43,20020917X02156,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N738XP,Cessna,TR182,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,05-01-1983
44,20020917X01651,ANC82FA012,1982-01-05,"BETHEL, AK",United States,BETHEL,Non-Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,05-01-1983
45,20020917X02423,MKC82DA016,1982-01-06,"ROLLA, MO",United States,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,06-01-1983
46,20020917X02157,LAX82DA039,1982-01-06,"MAMMOTH LAKES, CA",United States,MAMMOTH LAKES,Non-Fatal,Substantial,Helicopter,N608RA,Aerospatiale,SA-316B,No,1.0,Turbo Shaft,Business,0.0,0.0,0.0,6.0,VMC,Taxi,Probable Cause,06-01-1983
47,20020917X01913,DEN82DA015,1982-01-06,"JACKSON, WY",United States,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N8070Q,Beech,35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,06-01-1983
48,20020917X01777,CHI82DA021,1982-01-06,"PAXTON, IL",United States,PAXTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4900L,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,06-01-1983
52,20020917X01659,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,CLEARVIEW,Non-Fatal,Substantial,Airplane,N117P,Beech,V35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,07-01-1983
53,20020917X02141,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,07-01-1983
